Channel1,Channel2,Weight
GeorgeTheGiantSlayer,NICKMERCS,1
theshadlands1142,rkoutpostlive8385,1
theshadlands1142,MauLerYT,1
theshadlands1142,geeksandgamerslife,1
theshadlands1142,geeksandgamersplay,1
theshadlands1142,OMBReviews,1
theshadlands1142,QTRBlackGarrett,1
theshadlands1142,HeelvsBabyface,1
theshadlands1142,ComixDivision,1
theshadlands1142,Nerdrotic3,1
theshadlands1142,hawttoys,1
theshadlands1142,GeeksandGamers,1
theshadlands1142,DDayCobra,1
theshadlands1142,TheOMBReport,1
theshadlands1142,rkoutpostgaming8112,1
theshadlands1142,EchoChamberlain,1
theshadlands1142,PierryChan,1
theshadlands1142,disparutoo,1
theshadlands1142,ParkHoppin,1
theshadlands1142,ryankinelrkoutpost1,1
theshadlands1142,rkoutpostshorts8795,1
theshadlands1142,ChrissieMayr,1
theshadlands1142,NerdroticDaily,1
theshadlands1142,hvbgaming,1
theshadlands1142,geeksandgamers2,1
theshadlands1142,NormalWorld,1
theshadlands1142,nerdrotic,1
theshadlands1142,GeeksandGamersTabletop,1
theshadlands1142,NerdroticLive,1
ParkHoppin,TheLittlePlatoon,1
ParkHoppin,rkoutpostlive8385,1
ParkHoppin,ItsAGundam,1
ParkHoppin,MauLerYT,1
ParkHoppin,RussellBrand,1
ParkHoppin,youngrippa59,1
ParkHoppin,TheQuartering,1
ParkHoppin,jschlattLIVE,1
ParkHoppin,TyroneMagnus,1
ParkHoppin,RedLetterMedia,1
ParkHoppin,MelonieMacGoBoom,1
ParkHoppin,geeksandgamerslife,1
ParkHoppin,Drunk3PO,1
ParkHoppin,nerdrotic,1
ParkHoppin,FilmThreat,1
ParkHoppin,JeremyJahns,1
ParkHoppin,penguinz0,1
ParkHoppin,CAMELOT331,1
ParkHoppin,GeeksandGamersTabletop,1
ParkHoppin,DrewHernandezMedia,1
ParkHoppin,TheOMBReport,1
ParkHoppin,TheRageaholic,1
ParkHoppin,hawttoys,1
ParkHoppin,ComicArtistProSecrets,1
ParkHoppin,StevenCrowder,1
