Channel Name,Subscriber Count,View Count,Topic Details,Keywords
Fanscape,24,"1,030","https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Music","""game reviews"" ""virtual reality"" vr games ""fan fiction"" fan fiction ao3 fanfic.net art review podcast infinit fern fanscape reviewscape artscape"
Flashgitz,"4,420,000","1,010,360,920","https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",None
FreedomToons,"1,040,000","256,542,805","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society","animation cartoons politics conservative freedom satire ""political satire"""
Fringy,53200,3495730,"https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action-adventure_game",None
Game Knights,"749,000","253,778,602","https://en.wikipedia.org/wiki/Strategy_video_game, https://en.wikipedia.org/wiki/Video_game_culture","""Magic: the Gathering"" ""Collectible Card Game"" EDH ""Elder Dragon Highlander"" Commander ""card game"" ccg ""trading card game"" magic gameplay game knights"
Geeks and Gamers,"411,000","225,784,778","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action_game",None
George the Giant Slayer,"178,000","22,671,528","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment",None
Graham Cast,"146,000","9,049,705","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society","funny ""Graham Allen"" ""Dear America"" ""Donald Trump"" conservative news comedy ""dear america with graham allen"" ""political news"" ""graham allen rant"" ""graham allen funny"" entertainment Republican Podcast ""Talk Show"""
Greg Owen,"72,900","9,482,116","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment","""pop culture"" commentary movies reviews tv ""video games"" books politics"
GriffinGaming,955,"177,285","https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Video_game_culture","Gaming ""Flight simulator"" Comedy Skits Entertainment"
Grizzy,"2,080,000","460,868,002","https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Role-playing_video_game",grizzy funny moments gameplay comedy games
HeelvsBabyFace,"383,000","167,099,473","https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Action-adventure_game","""Heel vs Babyface"" HeelvsBabyface review entertainment comedy rant ""pop culture"" geek ""video games"" ""doctor who"" ""star trek"" comics sci-fi"
Hero Hei,"617,000","415,191,102","https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action-adventure_game","anime manga ""virtual youtubers"" herohei gaming ""genshin impact"" twitter ""hero hei"""
Hypnotic,"146,000","13,053,663","https://en.wikipedia.org/wiki/Health, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",None
Jedi Brooks,"49,700","10,648,434","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film",None
Jesse Grant,326,"26,665","https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",None
JesterBell,"26,200","3,276,924","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology)","shortfilm review reaction ""my thoughts"" parody horror"
John Talks,"81,900","52,613,447","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment","""joe biden"" biden trump politics ""john talks"" ""john talks 2"" republicans democrats news ""breaking news"" ""current events"""
Jon Del Arroz,"47,300","10,812,924","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Role-playing_video_game","""comic books"" ""science fiction"" ""jon del arroz"" ""jonathan del arroz"" ""jon del arroz author"" ""jon del arroz sci-fi"" ""geeks + gamers"" ""gaming news"" ""movie news"" ""comic book news"" ""pop culture news"" ""gaming news"" ""gaming journalism"" ""mcu news"" ""dcu news"" ""the quartering"" ""tim pool"" yellowflash ""conservative culture"" ""marvel comics"" anti-woke ""eric july"" nerdrotic ""ryan kinel"" ""jda comics"" hollywood news commentary ""movie news"" disney ""star wars"" entertainment movies disney marvel film ""star wars"""
JosiahRises,"412,000","212,153,480","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Politics","reaction hollywood commentary ""movie news"" movies ""lord of the rings"" review culture"
JUST A ROBOT,"203,000","33,280,094","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology)","review Disney ""Star Wars"" Woke Marvel Drama"
JustSomeGuy,"203,000","54,955,432","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology)","comic comics ""comic book"" ""comic books"" review reviews Marvel ""Marvel comics"" dc ""dc comics"" ""diversity in comics"" ""just some guy"" justsomeguy reikeita"
Knights of Melvin,"10,100","1,718,035","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film","""star wars"" ""star wars theory"" ""knights of ren"" ""darth vader"" ""empire strikes back"" ""return of the jedi"" ""luke skywalker"" ""jj abrams"" ""rian johnson"" ""last jedi"" ""rise of skywalker"" ""phantom menace"" ""george lucas"" ""revenge of the sith"" ""fandom menace"" ""geeks and gamers"" sith palpatine lucasfilm ""kathleen kennedy"" ""star wars fan film"" ""star wars theory"" ""star wars theory shill"" ""mike zeroh"" ""mike zeroh exposed"" ""dark side"" ""disney shill"" ""cara dune"" ""gina carano"" ""kathleen kennedy fired"""
KNIGHTS WATCH,"164,000","23,303,710","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Entertainment",None
KNIGHTWING1,"342,000","171,711,181","https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture","""Wii U"" ""game reviews"" ""game news"" Nintendo reviews gameplay guides Wii 3DS retro classic games tgs let's play mario zelda metroid kirby brawl chrono trigger Batman Lego graphics Nes Snes Gen N64 Dc GBA Gamecube GC DS DSi ""3DS reviews"" videogame ""Wii reviews"" ""Wii U Reviews"" ""Nintendo News"" ""the real game master"" ""Retro Mondays"""
Liberal Hivemind,"1,530,000","673,928,919","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics",None
Literature Devil,"132,000","10,709,974",https://en.wikipedia.org/wiki/Entertainment,"""Creative writing"" ""Pop culture"" fiction ""Media Commentary"" philosophy movies comics television books"
LostChord,"45,000","2,352,320","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment",None
Matt Walsh,"3,120,000","1,086,329,313","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society","""The Matt Walsh Show"" ""daily wire"" ""Matt Walsh"" politics republican democrat liberal news ""current events"" culture ""Ben Shapiro"" ""Michael Knowles"" ""Andrew Klavan"" sjw Trump ""Donald Trump"" Biden ""Joe Biden"" cops police journalism conservative podcast sjw trump funny college university liberty hangout of liberals crazy west ""sjw triggered"" ""sjw triggered compilation"" ""sjw cringe"" ""sjw cringe compilation"" ""sjw fail"" ""sjw fails compilation"" ""steven crowder"" ""sjw vs logic"" ""sjws owned"""
Mauler,"491,000","101,939,774","https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Film",None
Mecharandom42,1,32,None,None
Memology101,"558,000","535,517,503","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics","Memes ""Memology 101"" ""Memology 102"" news"
MGOW,"53,800","18,764,856","https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Role-playing_video_game","""Men’s Issues"" ""Video Games"" ""Entertainment News"" Manga Anime Comics ""Geek Culture"" ""Pop Culture Commentary"" Anti-Censorship ""Gaming Commentary"""
Michael Fitzgerald Troy,"2,400","440,366","https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Entertainment",None
Midnight’s Edge,"256,000","71,364,808","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film","""Genre Entertainment"" ""Film Production"" ""Star Trek"" Marvel DC ""Star Wars"" ""Conan The Barbarian"" He-Man ""Masters of the Universe"" ""Judge Dredd"" Hellraiser Ghostbusters"
Midnight’s Edge Live,"256,000","71,364,808","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society","""Genre Entertainment"" ""Film Production"" ""Star Trek"" Marvel DC ""Star Wars"" ""Conan The Barbarian"" He-Man ""Masters of the Universe"" ""Judge Dredd"" Hellraiser Ghostbusters"
Midnight's Edge After Dark,24200,2619123,"https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Music","news Hollywood politics film movie television live ""Midnight's Edge"""
Midnight's Edge Live Archives,256000,71395229,"https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society","""Genre Entertainment"" ""Film Production"" ""Star Trek"" Marvel DC ""Star Wars"" ""Conan The Barbarian"" He-Man ""Masters of the Universe"" ""Judge Dredd"" Hellraiser Ghostbusters"
Millennia Thinker,"1,080,000","188,908,728","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Lifestyle_(sociology)","meme animation doomer boomer funny wojak satire parody humor chad chads cartoon ""e girl"" e-girl egirls thot thots ""millennia thinker"" millenniathinker millennialthinker"
MooLer,"148,000","92,476,232","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Entertainment",None
Moon,"65,600","14,238,852","https://en.wikipedia.org/wiki/Casual_game, https://en.wikipedia.org/wiki/Simulation_video_game, https://en.wikipedia.org/wiki/Video_game_culture","sims ""sims 4"" challenge défi moon game origin ea construction décoration game play gameplay ""lets play"" challenge défi ""sims 4 100 baby"" ""ville des abonnés"" ""grosse construction"" ""1 pièce ="" marine"
Nerd Word,"19,200","1,813,465","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment",None
Nerdrotic,"1,150,000","272,065,421","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Television_program","nerdrotic ""gary nerdrotic"" ""doctor who nerdrotic"" ""star trek nerdrotic"" ""rip doctor who"" ""star wars nerdrotic"" ""marvel nerdrotic"""
NerdWars,18600,1420951,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film",Nerd culture pop news documentary
No Bullshit / No BS,"553,000","167,709,415","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment",comedy commentary reviews rebuttals news entertainment politics
Nyrion,"26,600","9,419,570","https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Entertainment",None
Odin’s Movie Blog,"27,500","5,616,549","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film","movies film critic disney ""star wars"" ""movie reviews"" ""pop culture"" ""live streaming"" ""nerd culture"" nerd ""fandom menace"" ""odins movie blog"" ""odin movie blog"" ""geeks and gamers"" nerdrotic ""omb reviews"" ""the flick pick"" ""box office"" criterion ""criterion channel"" ""retro reviews"" ""japanese cinema"" ""japanese film"" samurai ""samurai movies"""
OMB Reviews,"27,500","5,616,549","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film","movies film critic disney ""star wars"" ""movie reviews"" ""pop culture"" ""live streaming"" ""nerd culture"" nerd ""fandom menace"" ""odins movie blog"" ""odin movie blog"" ""geeks and gamers"" nerdrotic ""omb reviews"" ""the flick pick"" ""box office"" criterion ""criterion channel"" ""retro reviews"" ""japanese cinema"" ""japanese film"" samurai ""samurai movies"""
Overlord DVD,"343,000","72,961,291","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society","Doomcock ""Harvey Cthuhlu"" ""Overlord DVD"""
Paul Joseph Watson,"2,020,000","695,534,800","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment","""Paul Joseph Watson"" Infowars ""Prison Planet"" ""New World Order"" Bilderberg Illuminati Conspiracy Politics"
Phil’s Father Factor,445,"31,795","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Video_game_culture",None
Podcast of the Lotus Eaters,"458,000","299,895,403","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics","""Lotus Eaters"" lotuseaters.com podcast politics culture ""Carl Benjamin"""
Polite Leader,"123,000","16,822,016","https://en.wikipedia.org/wiki/Religion, https://en.wikipedia.org/wiki/Society",None
PowerfulJRE,"18,600,000","5,680,722,970","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film",The Joe Rogan Experience
Rafe Heydel-Mankoo,"72,000","17,838,300","https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment",Royal Commentator Monarchy Debate Royalty Honours System Rafal Heydel-Mankoo Monarchist Royalist Rafe
Rags,311000,48549790,"https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture","Rags pc ""pc master race"" dog ""pc gaming"" ""video games"""
Reaper,"13,300","869,083","https://en.wikipedia.org/wiki/Technology, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",None
Renaissance Nerd,"3,800","580,709","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Entertainment",None
RenownedZ3r0,2420,669270,"https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Hobby",None
Robot Head,343000,62546326,"https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Humour","""Movie Review"" ""Star Wars Review"" ""movie review"" ""star wars"" ""trailer review"" breakdown ""movie trailer"" movies ""movie trailers"" ""Movie News"" Film Hollywood ""Bob Lazar"" ""Area 51"" ""Game of Thrones"" ""The Boys"" ""The Boys Review"" ""The Boys Season 2"""
Ryan Kinel,330000,232635897,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Film","""Disney Star Wars"" ""Marvel cinematic universe"" ""fitness motivation"" ""Star Wars Expanded universe"" ""culture war"" ""DC Comics"" Legends ""Star Wars"" ""Expanded Universe"" ""Geeks and Gamers"" Geeks+Gamers ""The Fandom Menace"" ""Fandom Menace"" MCU ""Zack Snyder"" ""Snyder Cut"" comics ""rk outpost"" ""ryan kinel"" DC DCEU ""DC Extended Universe"" ""video games"" gaming"
Salty Cracker,860000,116095524,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",redpill conservative maga donald trump 45 republican politics antifa globalism globalist democrat socialism socialist communism communist america usa
SC Reviews,267000,16544497,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",None
Shadiversity,1680000,310689911,"https://en.wikipedia.org/wiki/Hobby, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",Pop culture swords medieval education castle castles middle ages rpg fantasy video game roleplaying role
SimpSaverSam,120000,49603092,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Film","SIMP SIMPING COMEDY DATING ""STOP SIMPING"" ""MODERN WOMEN"""
