Channel1,Channel2,Weight
ChrissieMayr,ComixDivision,51
ChrissieMayr,rkoutpostgaming8112,51
ChrissieMayr,GeeksandGamersTabletop,51
ChrissieMayr,TheOMBReport,51
ChrissieMayr,rkoutpostlive8385,51
ChrissieMayr,XrayGirl_,51
ChrissieMayr,PierryChan,51
ChrissieMayr,Nerdrotic:3,51
ChrissieMayr,geeksandgamerslife,51
ChrissieMayr,hawttoys,51
ChrissieMayr,geeksandgamersplay,51
ChrissieMayr,pourchoices_,51
ChrissieMayr,NerdroticDaily,51
DDayCobra,NerdroticLive,51
DDayCobra,rkoutpostshorts8795,51
DDayCobra,rkoutpostgaming8112,51
DDayCobra,GeeksandGamersTabletop,51
DDayCobra,TheOMBReport,51
DDayCobra,rkoutpostlive8385,51
DDayCobra,XrayGirl_,51
DDayCobra,PierryChan,51
DDayCobra,Nerdrotic:3,51
DDayCobra,geeksandgamerslife,51
DDayCobra,hawttoys,51
DDayCobra,geeksandgamersplay,51
DDayCobra,pourchoices_,51
DDayCobra,NerdroticDaily,51
nerdrotic,rkoutpostshorts8795,51
nerdrotic,rkoutpostgaming8112,51
nerdrotic,GeeksandGamersTabletop,51
nerdrotic,TheOMBReport,51
nerdrotic,rkoutpostlive8385,51
nerdrotic,geeksandgamerslife,51
nerdrotic,geeksandgamersplay,51
GeeksandGamers,rkoutpostshorts8795,51
GeeksandGamers,rkoutpostgaming8112,51
GeeksandGamers,GeeksandGamersTabletop,51
GeeksandGamers,TheOMBReport,51
GeeksandGamers,rkoutpostlive8385,51
GeeksandGamers,XrayGirl_,51
GeeksandGamers,PierryChan,51
GeeksandGamers,Nerdrotic:3,51
GeeksandGamers,geeksandgamerslife,51
GeeksandGamers,hawttoys,51
GeeksandGamers,geeksandgamersplay,51
GeeksandGamers,pourchoices_,51
GeeksandGamers,NerdroticDaily,51
NerdroticLive,rkoutpostshorts8795,51
NerdroticLive,ComixDivision,51
NerdroticLive,rkoutpostgaming8112,51
NerdroticLive,GeeksandGamersTabletop,51
NerdroticLive,TheOMBReport,51
NerdroticLive,OMBReviews,51
NerdroticLive,shadiversity,51
NerdroticLive,ryankinel-rkoutpost1,51
NerdroticLive,ParkHoppin,51
NerdroticLive,rkoutpostlive8385,51
NerdroticLive,geeksandgamerslife,51
NerdroticLive,hawttoys,51
NerdroticLive,geeksandgamersplay,51
NerdroticLive,pourchoices_,51
rkoutpostshorts8795,ComixDivision,51
rkoutpostshorts8795,HeelvsBabyface,51
rkoutpostshorts8795,rkoutpostgaming8112,51
rkoutpostshorts8795,GeeksandGamersTabletop,51
rkoutpostshorts8795,TheOMBReport,51
rkoutpostshorts8795,OMBReviews,51
rkoutpostshorts8795,shadiversity,51
rkoutpostshorts8795,ryankinel-rkoutpost1,51
rkoutpostshorts8795,QTRBlackGarrett,51
rkoutpostshorts8795,ParkHoppin,51
rkoutpostshorts8795,rkoutpostlive8385,51
rkoutpostshorts8795,XrayGirl_,51
rkoutpostshorts8795,PierryChan,51
rkoutpostshorts8795,Nerdrotic:3,51
rkoutpostshorts8795,geeksandgamerslife,51
rkoutpostshorts8795,hawttoys,51
rkoutpostshorts8795,geeksandgamersplay,51
rkoutpostshorts8795,pourchoices_,51
rkoutpostshorts8795,NerdroticDaily,51
ComixDivision,rkoutpostgaming8112,51
ComixDivision,GeeksandGamersTabletop,51
ComixDivision,TheOMBReport,51
ComixDivision,shadiversity,51
ComixDivision,QTRBlackGarrett,51
ComixDivision,ParkHoppin,51
ComixDivision,rkoutpostlive8385,51
ComixDivision,XrayGirl_,51
ComixDivision,PierryChan,51
ComixDivision,Nerdrotic:3,51
ComixDivision,geeksandgamerslife,51
ComixDivision,hawttoys,51
ComixDivision,pourchoices_,51
ComixDivision,NerdroticDaily,51
HeelvsBabyface,rkoutpostgaming8112,51
HeelvsBabyface,GeeksandGamersTabletop,51
HeelvsBabyface,TheOMBReport,51
HeelvsBabyface,rkoutpostlive8385,51
HeelvsBabyface,geeksandgamerslife,51
rkoutpostgaming8112,TheOMBReport,51
rkoutpostgaming8112,OMBReviews,51
rkoutpostgaming8112,shadiversity,51
rkoutpostgaming8112,ryankinel-rkoutpost1,51
rkoutpostgaming8112,QTRBlackGarrett,51
rkoutpostgaming8112,ParkHoppin,51
rkoutpostgaming8112,rkoutpostlive8385,51
rkoutpostgaming8112,XrayGirl_,51
rkoutpostgaming8112,PierryChan,51
rkoutpostgaming8112,Nerdrotic:3,51
rkoutpostgaming8112,geeksandgamerslife,51
rkoutpostgaming8112,hawttoys,51
rkoutpostgaming8112,pourchoices_,51
rkoutpostgaming8112,NerdroticDaily,51
GeeksandGamersTabletop,TheOMBReport,51
GeeksandGamersTabletop,OMBReviews,51
GeeksandGamersTabletop,shadiversity,51
GeeksandGamersTabletop,ryankinel-rkoutpost1,51
GeeksandGamersTabletop,QTRBlackGarrett,51
GeeksandGamersTabletop,ParkHoppin,51
GeeksandGamersTabletop,rkoutpostlive8385,51
GeeksandGamersTabletop,XrayGirl_,51
GeeksandGamersTabletop,PierryChan,51
GeeksandGamersTabletop,Nerdrotic:3,51
GeeksandGamersTabletop,geeksandgamerslife,51
GeeksandGamersTabletop,hawttoys,51
GeeksandGamersTabletop,pourchoices_,51
GeeksandGamersTabletop,NerdroticDaily,51
TheOMBReport,OMBReviews,51
TheOMBReport,shadiversity,51
TheOMBReport,ryankinel-rkoutpost1,51
TheOMBReport,QTRBlackGarrett,51
TheOMBReport,ParkHoppin,51
TheOMBReport,rkoutpostlive8385,51
TheOMBReport,XrayGirl_,51
TheOMBReport,PierryChan,51
TheOMBReport,Nerdrotic:3,51
TheOMBReport,geeksandgamerslife,51
TheOMBReport,hawttoys,51
TheOMBReport,pourchoices_,51
TheOMBReport,NerdroticDaily,51
OMBReviews,rkoutpostlive8385,51
OMBReviews,XrayGirl_,51
OMBReviews,PierryChan,51
OMBReviews,Nerdrotic:3,51
OMBReviews,geeksandgamerslife,51
OMBReviews,hawttoys,51
OMBReviews,pourchoices_,51
OMBReviews,NerdroticDaily,51
shadiversity,rkoutpostlive8385,51
shadiversity,XrayGirl_,51
shadiversity,Nerdrotic:3,51
shadiversity,geeksandgamerslife,51
shadiversity,hawttoys,51
ryankinel-rkoutpost1,rkoutpostlive8385,51
ryankinel-rkoutpost1,XrayGirl_,51
ryankinel-rkoutpost1,PierryChan,51
ryankinel-rkoutpost1,Nerdrotic:3,51
ryankinel-rkoutpost1,geeksandgamerslife,51
ryankinel-rkoutpost1,hawttoys,51
QTRBlackGarrett,rkoutpostlive8385,51
QTRBlackGarrett,geeksandgamerslife,51
QTRBlackGarrett,hawttoys,51
QTRBlackGarrett,pourchoices_,51
ParkHoppin,rkoutpostlive8385,51
ParkHoppin,XrayGirl_,51
ParkHoppin,PierryChan,51
ParkHoppin,Nerdrotic:3,51
ParkHoppin,geeksandgamerslife,51
ParkHoppin,hawttoys,51
ParkHoppin,NerdroticDaily,51
rkoutpostlive8385,XrayGirl_,51
rkoutpostlive8385,PierryChan,51
rkoutpostlive8385,Nerdrotic:3,51
rkoutpostlive8385,geeksandgamerslife,51
rkoutpostlive8385,hawttoys,51
rkoutpostlive8385,NerdroticDaily,51
XrayGirl_,geeksandgamerslife,51
XrayGirl_,hawttoys,51
PierryChan,Nerdrotic:3,51
PierryChan,geeksandgamerslife,51
PierryChan,hawttoys,51
PierryChan,NerdroticDaily,51
Nerdrotic:3,geeksandgamerslife,51
Nerdrotic:3,hawttoys,51
Nerdrotic:3,NerdroticDaily,51
geeksandgamerslife,hawttoys,51
geeksandgamerslife,NerdroticDaily,51
hawttoys,NerdroticDaily,51
geeksandgamersplay,NerdroticDaily,51
pourchoices_,NerdroticDaily,51
sergedotcom,PhilThatRemains,51
PhilThatRemains,Timcast,51
MoreGrizzy,GrizzyVODS,50
GrizzyVODS,grizzytv,50
midnightsedge.me,ThatSeventiesRockFan,50
ComixDivision,geeksandgamersplay,50
HeelvsBabyface,geeksandgamersplay,50
rkoutpostgaming8112,geeksandgamersplay,50
GeeksandGamersTabletop,geeksandgamersplay,50
TheOMBReport,geeksandgamersplay,50
OMBReviews,geeksandgamersplay,50
shadiversity,geeksandgamersplay,50
ryankinel-rkoutpost1,geeksandgamersplay,50
QTRBlackGarrett,geeksandgamersplay,50
ParkHoppin,geeksandgamersplay,50
rkoutpostlive8385,geeksandgamersplay,50
XrayGirl_,geeksandgamersplay,50
PierryChan,geeksandgamersplay,50
Nerdrotic:3,geeksandgamersplay,50
geeksandgamerslife,geeksandgamersplay,50
hawttoys,geeksandgamersplay,50
vtsoscast,bizdocpodcast,50
valuetainment.com,ValuetainmentComedy,50
rkoutpostgaming8112,GeeksandGamersTabletop,49
,ThatStarWarsGirl:c,49
GrizzyVODS,GrizzyBeatss,48
nerdrotic,MauLerYT,48
RenownedZ3r0:f,UC81z0QYPnMlzMnHztTOVxxw,48
underthemayo/videos,Zacharias423/videos,48
shadiversity,pourchoices_,47
ryankinel-rkoutpost1,pourchoices_,47
ParkHoppin,pourchoices_,47
rkoutpostlive8385,pourchoices_,47
PierryChan,pourchoices_,47
Nerdrotic:3,pourchoices_,47
geeksandgamerslife,pourchoices_,47
geeksandgamersplay,pourchoices_,47
underthemayo,underthemayo/videos,47
underthemayo,Zacharias423/videos,47
underthemayo,SaltyNerdPodcast/videos,47
underthemayo/videos,SaltyNerdPodcast/videos,47
sergedotcom,TPostMillennial,47
valuetainment.com,bizdocpodcast,46
valuetainment.com,ValuetainmentMoney,46
HCBrimelow,IanCrossland,45
